Date,Open,High,Low,Close,Adj Close,Volume
2021-10-13,104.820000,105.180000,103.790001,104.940002,99.330147,928500
2021-10-14,105.739998,106.610001,105.480003,106.559998,100.863548,701700
2021-10-15,107.169998,107.669998,107.050003,107.220001,101.488274,821300
2021-10-18,106.820000,107.389999,106.480003,106.849998,101.138054,811900
2021-10-19,107.169998,107.849998,107.000000,107.849998,102.084595,962200
2021-10-20,107.849998,108.839996,107.739998,108.769997,102.955406,900700
2021-10-21,108.650002,108.720001,107.919998,108.389999,102.595711,932400
2021-10-22,108.410004,108.830002,108.180000,108.669998,102.860756,845800
2021-10-25,108.879997,109.070000,108.449997,108.900002,103.078461,740700
2021-10-26,108.989998,109.290001,108.800003,108.959999,103.135254,806800
2021-10-27,108.949997,108.949997,107.519997,107.559998,101.810089,1010400
2021-10-28,107.699997,108.540001,107.650002,108.540001,102.737709,792200
2021-10-29,108.440002,108.830002,108.169998,108.440002,102.643059,742400
2021-11-01,108.870003,109.059998,108.570000,108.919998,103.097374,832100
2021-11-02,109.070000,109.529999,108.830002,109.379997,103.532799,766900
2021-11-03,109.070000,110.040001,108.989998,109.989998,104.110199,1006900
2021-11-04,110.089996,110.150002,109.089996,109.669998,103.807297,962200
2021-11-05,110.169998,110.739998,109.989998,110.339996,104.441475,890600
2021-11-08,110.650002,110.910004,110.050003,110.330002,104.432007,890900
2021-11-09,110.199997,110.309998,109.790001,110.250000,104.356293,1283900
2021-11-10,110.120003,110.709999,110.089996,110.230003,104.337372,959000
2021-11-11,110.379997,110.540001,110.139999,110.349998,104.450951,779000
2021-11-12,110.540001,110.690002,110.129997,110.519997,104.611847,708100
2021-11-15,110.800003,110.870003,110.489998,110.709999,104.791702,905500
2021-11-16,110.820000,111.139999,110.610001,110.690002,104.772766,880200
2021-11-17,110.470001,110.470001,109.940002,110.190002,104.299507,743000
2021-11-18,110.120003,110.230003,109.320000,109.849998,103.977676,1046800
2021-11-19,109.449997,109.449997,108.769997,108.860001,103.040596,1215500
2021-11-22,109.239998,110.529999,109.110001,109.669998,103.807297,2091700
2021-11-23,109.870003,110.790001,109.779999,110.699997,104.782234,1319800
2021-11-24,110.419998,110.690002,110.250000,110.510002,104.602394,926900
